Player,Player_ID,Season_ID,KI,MK,HB,GL,BH,HO,TK,FF,FA,FantasyAve
"McDonald, Oscar",489,2020,6.00,2.43,3.86,0.00,0.00,0.14,1.14,0.14,0.71,44.60
"McDonald, Oscar",489,2019,6.33,2.58,2.58,0.08,0.00,0.17,2.25,0.17,1.08,38.50
"McDonald, Tom",490,2020,5.56,3.22,3.00,0.78,0.11,1.78,1.67,0.89,0.67,55.60
"McDonald, Tom",490,2019,8.53,4.33,5.13,1.20,1.00,1.53,1.53,1.00,0.73,63.50
"McDonald, Tom",490,2021,9.44,5.30,4.57,1.44,0.96,1.30,2.22,0.96,1.13,70.70
"McDonald-Tipungwuti, Anthony",491,2020,5.06,2.06,3.59,1.12,0.41,0.00,3.35,0.47,0.94,58.40
"McDonald-Tipungwuti, Anthony",491,2021,6.45,2.45,3.60,1.70,0.70,0.00,2.80,0.80,0.90,54.10
"McDonald-Tipungwuti, Anthony",491,2019,7.22,2.87,4.22,1.39,0.57,0.00,4.30,1.09,1.04,62.80
"McEvoy, Ben",492,2020,4.31,3.19,4.50,0.25,0.06,10.06,1.94,0.63,0.50,62.50
"McEvoy, Ben",492,2019,5.32,4.79,7.11,0.42,0.11,28.32,2.42,0.90,0.90,83.40
"McEvoy, Ben",492,2021,6.14,5.05,6.36,0.55,0.36,16.82,3.55,1.27,0.64,80.30
"McGovern, Jeremy",493,2020,9.50,6.00,3.58,0.00,0.00,0.00,1.17,0.75,0.75,71.00
"McGovern, Jeremy",493,2021,13.07,7.40,3.33,0.00,0.00,0.60,1.00,1.13,0.60,72.00
"McGovern, Jeremy",493,2019,10.52,7.13,4.39,0.04,0.04,0.52,1.57,1.17,0.57,68.30
"McGovern, Mitch",494,2020,5.83,3.25,1.50,0.75,0.17,0.25,1.83,0.75,0.58,51.90
"McGovern, Mitch",494,2019,6.00,3.75,2.50,1.38,0.69,0.00,1.50,0.94,0.44,48.80
"McGrath, Andrew",495,2020,10.64,1.57,11.50,0.00,0.07,0.00,4.79,1.00,0.86,96.60
"McGrath, Andrew",495,2021,11.40,2.87,11.13,0.13,0.27,0.00,4.40,1.13,0.73,82.70
"McGrath, Andrew",495,2019,10.78,3.44,10.26,0.39,0.13,0.00,2.61,0.52,0.26,75.80
"McHenry, Ned",496,2020,3.88,2.13,5.38,0.00,0.50,0.00,2.88,1.25,1.50,46.90
"McHenry, Ned",496,2021,5.71,2.57,6.57,0.52,0.33,0.00,3.10,1.00,1.76,49.60
"McInerney, Justin",497,2020,6.67,2.89,7.22,0.56,0.00,0.00,1.44,0.89,0.89,63.10
