Player,ID,Season,GM,KI_Ave,MK_Ave,HB_Ave,GL_Ave,BH_Ave,HO_Ave,TK_Ave,FF_Ave,FA_Ave,FantasyAve
"Fantasia, Orazio",319,2021,15,8.40,3.20,3.47,1.87,1.53,0.00,2.00,0.67,0.40,61.9
"Farrar, Jy",320,2020,1,3.60,2.40,3.60,1.20,0.00,0.00,1.20,0.00,0.00,37.2
"Farrar, Jy",320,2021,10,9.00,5.60,5.50,0.00,0.00,0.00,1.40,0.10,0.50,59.0
"Farrell, Kane",321,2018,5,7.00,3.00,2.60,1.20,0.40,0.00,2.00,0.40,0.60,49.4
"Farrell, Kane",321,2019,7,5.14,2.00,3.29,1.57,0.43,0.00,2.00,0.57,0.43,45.1
"Farrell, Kane",321,2020,11,6.11,2.29,5.02,0.65,0.98,0.00,3.27,0.22,0.22,52.8
"Farrell, Kane",321,2021,10,6.70,2.30,5.50,0.40,0.30,0.00,2.40,0.10,1.10,47.1
"Fasolo, Alex",322,2015,17,8.82,4.76,5.06,1.59,0.88,0.00,2.88,1.12,0.71,71.8
"Fasolo, Alex",322,2016,12,8.25,3.67,6.08,2.08,0.50,0.00,3.00,0.92,1.25,70.1
"Fasolo, Alex",322,2017,19,8.89,5.53,4.58,1.53,1.53,0.00,2.00,0.89,0.84,69.5
"Fasolo, Alex",322,2018,1,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,12.0
"Fasolo, Alex",322,2019,3,3.67,2.00,3.00,0.67,0.00,0.00,2.67,0.67,1.67,33.3
"Fields, Tom",323,2015,2,8.00,2.50,2.50,0.00,0.00,0.00,4.00,0.50,0.00,53.0
"Finlayson, Jeremy",324,2017,1,0.00,0.00,4.00,0.00,0.00,0.00,3.00,0.00,0.00,20.0
"Finlayson, Jeremy",324,2018,14,11.50,3.93,4.86,0.29,0.07,0.00,1.00,0.64,1.57,57.7
"Finlayson, Jeremy",324,2019,23,9.43,5.13,3.00,1.91,1.09,0.48,1.52,0.57,0.61,67.6
"Finlayson, Jeremy",324,2020,15,8.16,3.04,1.68,1.52,0.80,3.52,2.80,0.80,0.80,60.0
"Finlayson, Jeremy",324,2021,13,8.15,3.08,2.69,1.77,0.69,1.85,1.15,1.08,0.85,55.4
"Fiorini, Brayden",325,2016,2,13.00,5.50,11.50,1.00,0.50,0.00,6.50,0.50,0.00,111.5
"Fiorini, Brayden",325,2017,13,10.46,5.77,10.62,0.38,0.00,0.00,2.77,0.54,0.08,83.6
"Fiorini, Brayden",325,2018,11,14.55,4.27,7.36,0.36,0.45,0.00,4.45,1.09,0.36,91.6
"Fiorini, Brayden",325,2019,21,16.14,4.19,9.29,0.24,0.33,0.00,4.76,0.52,0.33,99.9
"Fiorini, Brayden",325,2020,5,10.80,4.32,4.80,0.48,0.00,0.00,2.16,0.48,0.00,67.0
"Fiorini, Brayden",325,2021,10,13.30,5.20,10.10,0.20,0.20,0.00,4.70,0.70,0.60,94.8
"Firrito, Michael",326,2015,23,8.22,3.43,5.35,0.00,0.13,0.04,2.26,0.91,0.74,53.6
"Firrito, Michael",326,2016,22,7.50,3.77,5.32,0.00,0.00,0.00,1.18,0.64,0.86,47.2
"Fisher, Sam",327,2015,18,11.56,6.67,5.67,0.00,0.00,0.94,1.78,0.33,1.22,70.7
"Fisher, Sam",327,2016,12,9.00,5.33,5.25,0.00,0.17,0.67,1.75,0.42,1.42,57.5
"Fisher, Zac",328,2017,17,5.47,1.29,6.12,0.24,0.24,0.00,2.94,0.65,0.47,45.2
"Fisher, Zac",328,2018,17,10.00,1.71,9.18,0.47,0.35,0.00,3.47,0.88,0.65,69.5
"Fisher, Zac",328,2019,21,9.05,2.33,8.48,0.43,0.33,0.00,2.76,0.48,0.81,63.1
"Fisher, Zac",328,2020,8,8.55,1.95,7.50,0.90,0.30,0.00,3.00,0.45,0.15,64.2
"Fisher, Zac",328,2021,10,8.50,2.30,7.40,0.40,0.80,0.00,2.40,0.50,0.90,57.8
"Fitzpatrick, Jack",329,2015,3,6.33,3.67,3.00,0.67,0.00,2.33,1.00,0.67,1.33,43.0
"Fitzpatrick, Jack",329,2016,3,7.67,2.67,3.67,1.00,1.00,9.67,2.67,1.00,0.33,65.7
"Fitzpatrick, Jack",329,2017,1,3.00,4.00,8.00,0.00,0.00,13.00,0.00,1.00,1.00,48.0
"Flanders, Sam",330,2020,5,4.08,0.96,3.36,0.48,0.24,0.00,3.36,0.48,0.48,37.4
"Flanders, Sam",330,2021,16,6.00,2.88,5.81,0.25,0.31,0.00,3.88,1.38,0.50,55.4
"Fletcher, Dustin",331,2015,7,11.43,5.00,5.14,0.14,0.14,0.00,0.86,0.57,0.43,63.3
"Florent, Oliver",332,2017,9,5.56,1.67,4.22,0.44,0.11,0.00,2.11,0.56,0.67,39.9
"Florent, Oliver",332,2018,23,9.39,2.87,7.30,0.39,0.30,0.00,2.43,0.65,0.74,62.2
"Florent, Oliver",332,2019,21,11.81,3.71,7.43,0.29,0.29,0.00,2.05,0.43,0.95,69.2
"Florent, Oliver",332,2020,17,12.71,2.82,6.92,0.28,0.28,0.00,3.04,0.49,0.92,72.3
"Florent, Oliver",332,2021,23,11.87,4.04,7.09,0.39,0.26,0.00,2.17,0.78,0.83,71.5
"Flynn, Matt",333,2021,12,4.58,3.83,7.25,0.42,0.17,18.50,2.50,1.33,0.75,70.0
"Fogarty, Darcy",334,2018,10,5.70,3.20,2.70,0.90,0.30,0.00,2.00,0.70,1.50,42.0
"Fogarty, Darcy",334,2019,4,7.00,5.50,3.50,2.25,0.25,0.25,0.50,0.25,0.50,59.3
"Fogarty, Darcy",334,2020,10,4.92,2.28,3.96,0.96,0.12,0.24,2.64,1.32,1.20,43.9
"Fogarty, Darcy",334,2021,17,5.59,3.12,2.47,1.41,0.71,0.06,1.24,1.12,0.94,43.5
"Fogarty, Lachie",335,2018,15,7.27,2.47,6.00,0.33,0.80,0.00,3.47,0.87,0.33,57.7
"Fogarty, Lachie",335,2019,2,5.00,1.50,4.50,0.00,0.00,0.00,5.00,0.50,0.00,49.0
"Fogarty, Lachie",335,2020,6,10.40,3.40,5.80,0.20,0.20,0.00,3.80,2.00,0.60,69.8
"Fogarty, Lachie",335,2021,17,8.18,3.35,6.29,0.35,0.35,0.00,3.65,0.94,0.65,63.2
"Foley, Luke",336,2020,1,3.60,2.40,0.00,0.00,0.00,0.00,1.20,0.00,0.00,22.8
"Foley, Luke",336,2021,6,8.83,3.83,3.50,0.17,0.00,0.00,1.17,0.00,0.50,49.2
"Foot, Zac",337,2020,2,4.20,3.60,4.20,0.60,0.00,0.00,2.40,0.60,1.20,42.0
"Foote, Jordan",338,2016,1,3.00,2.00,7.00,0.00,0.00,0.00,4.00,1.00,1.00,43.0
"Foote, Jordan",338,2017,5,3.40,1.20,6.60,0.20,0.40,0.00,4.00,0.80,1.00,42.4
"Ford, Eddie",339,2021,5,4.80,4.20,2.80,0.60,0.60,0.00,0.80,0.80,0.20,40.2
"Fort, Darcy",340,2019,3,5.33,2.00,2.33,1.67,0.00,12.33,1.67,1.33,0.67,55.0
"Fort, Darcy",340,2020,5,7.44,2.16,3.84,0.24,0.00,25.68,2.16,0.72,3.12,63.6
"Fox, Robbie",341,2017,3,4.67,0.33,8.33,0.33,0.00,0.00,5.00,0.33,1.00,51.0
"Fox, Robbie",341,2018,10,5.40,2.50,5.20,0.40,0.20,0.60,2.70,0.90,1.00,46.0
"Fox, Robbie",341,2019,11,5.91,2.27,5.73,0.27,0.09,0.09,4.27,0.45,1.00,52.4
"Fox, Robbie",341,2020,14,7.37,2.57,4.97,0.00,0.00,0.00,3.17,0.86,0.77,51.0
"Fox, Robbie",341,2021,15,6.33,2.67,5.80,0.00,0.00,0.07,1.87,0.33,0.47,45.1
"Frampton, Billy",342,2018,1,6.00,5.00,1.00,1.00,2.00,15.00,0.00,0.00,2.00,52.0
"Frampton, Billy",342,2019,2,5.50,1.50,6.00,1.50,1.00,0.50,1.50,1.00,4.00,38.5
"Frampton, Billy",342,2020,5,5.28,4.08,4.32,1.20,0.24,4.80,1.20,0.48,1.92,48.5
"Frampton, Billy",342,2021,10,6.40,5.00,3.30,0.20,1.10,2.40,0.80,0.40,0.70,47.0
"Francis, Aaron",343,2016,3,6.67,4.00,3.67,0.33,0.67,0.00,1.67,1.67,0.67,48.3
"Francis, Aaron",343,2017,2,5.00,3.50,6.00,0.50,1.50,0.00,1.50,0.00,0.50,46.5
"Francis, Aaron",343,2018,5,10.20,6.40,3.00,0.20,0.00,0.00,2.20,1.60,0.80,65.0
"Francis, Aaron",343,2019,17,7.59,4.71,5.65,0.18,0.18,0.00,1.76,0.59,0.59,55.3
"Francis, Aaron",343,2020,8,6.60,4.05,5.25,0.00,0.00,0.00,2.10,0.75,0.60,49.8
"Francis, Aaron",343,2021,15,6.60,4.67,4.67,0.13,0.40,0.07,1.13,1.00,0.80,47.5
"Franklin, Lance",344,2015,17,11.29,4.88,3.41,2.76,1.71,0.00,2.88,1.59,1.71,81.6
"Franklin, Lance",344,2016,26,12.35,5.96,5.23,3.12,2.08,0.04,2.62,1.27,1.50,93.4
