Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve,KI_norm,MK_norm,HB_norm,GL_norm,BH_norm,HO_norm,TK_norm,FF_norm,FA_norm,%P_norm,FantasyAve_norm
"Cunnington, Ben",167.00,2020,3.00,18.00,6.00,35.00,2.00,0.00,1.00,12.00,3.00,2.00,74.00,83.30,0.06,0.05,0.13,0.04,0.00,0.00,0.10,0.07,0.07,0.68,0.64
"Cunnington, Ben",167.00,2019,22.00,189.00,53.00,397.00,6.00,5.00,0.00,78.00,26.00,31.00,78.50,82.10,0.40,0.28,0.87,0.08,0.10,0.00,0.46,0.49,0.40,0.78,0.66
"Curnow, Charlie",168.00,2021,4.00,35.00,16.00,14.00,2.00,5.00,0.00,6.00,1.00,7.00,79.00,50.50,0.07,0.09,0.03,0.03,0.12,0.00,0.03,0.02,0.15,0.76,0.40
"Curnow, Charlie",168.00,2019,11.00,115.00,49.00,20.00,18.00,8.00,0.00,17.00,11.00,4.00,76.70,65.00,0.24,0.26,0.04,0.24,0.16,0.00,0.10,0.21,0.05,0.76,0.52
"Curnow, Ed",169.00,2021,22.00,318.00,106.00,178.00,10.00,3.00,0.00,80.00,13.00,23.00,83.50,88.90,0.62,0.59,0.40,0.16,0.07,0.00,0.43,0.24,0.50,0.81,0.72
"Curnow, Ed",169.00,2020,17.00,212.00,42.00,108.00,4.00,3.00,0.00,88.00,13.00,18.00,87.60,96.80,0.71,0.34,0.40,0.08,0.08,0.00,0.75,0.30,0.62,0.86,0.75
"Curnow, Ed",169.00,2019,22.00,267.00,84.00,229.00,9.00,8.00,0.00,112.00,19.00,21.00,83.60,89.90,0.56,0.45,0.50,0.12,0.16,0.00,0.66,0.36,0.27,0.84,0.72
"Cutler, Tom",170.00,2021,13.00,113.00,51.00,65.00,1.00,4.00,0.00,16.00,5.00,2.00,63.50,53.50,0.22,0.28,0.15,0.02,0.10,0.00,0.09,0.09,0.04,0.58,0.43
"Cutler, Tom",170.00,2020,8.00,66.00,25.00,44.00,2.00,5.00,0.00,10.00,5.00,6.00,85.00,63.30,0.22,0.20,0.16,0.04,0.14,0.00,0.09,0.12,0.21,0.83,0.46
"Cutler, Tom",170.00,2019,3.00,40.00,15.00,25.00,1.00,2.00,0.00,6.00,3.00,3.00,84.00,80.30,0.08,0.08,0.06,0.01,0.04,0.00,0.04,0.06,0.04,0.84,0.64
"Dahlhaus, Luke",171.00,2021,21.00,103.00,41.00,150.00,7.00,15.00,0.00,79.00,18.00,19.00,72.10,50.80,0.20,0.23,0.34,0.11,0.37,0.00,0.43,0.33,0.41,0.68,0.41
"Dahlhaus, Luke",171.00,2020,16.00,89.00,44.00,127.00,7.00,0.00,0.00,37.00,7.00,5.00,75.40,65.20,0.30,0.35,0.47,0.14,0.00,0.00,0.32,0.16,0.17,0.70,0.48
"Dahlhaus, Luke",171.00,2019,24.00,171.00,71.00,262.00,14.00,16.00,0.00,115.00,25.00,14.00,81.00,74.70,0.36,0.38,0.58,0.18,0.32,0.00,0.68,0.47,0.18,0.81,0.60
"Daicos, Josh",172.00,2021,17.00,173.00,48.00,149.00,9.00,9.00,0.00,53.00,19.00,14.00,79.20,71.40,0.34,0.27,0.33,0.15,0.22,0.00,0.29,0.35,0.30,0.76,0.58
"Daicos, Josh",172.00,2020,18.00,169.00,68.00,143.00,10.00,3.00,0.00,42.00,18.00,8.00,84.60,84.90,0.57,0.54,0.53,0.20,0.08,0.00,0.36,0.42,0.28,0.82,0.65
"Daicos, Josh",172.00,2019,5.00,40.00,19.00,45.00,1.00,2.00,0.00,13.00,4.00,5.00,71.60,63.20,0.08,0.10,0.10,0.01,0.04,0.00,0.08,0.08,0.06,0.70,0.50
"Dale, Bailey",173.00,2021,26.00,447.00,100.00,176.00,9.00,0.00,0.00,26.00,10.00,12.00,81.90,81.70,0.87,0.55,0.40,0.15,0.00,0.00,0.14,0.19,0.26,0.80,0.66
"Dale, Bailey",173.00,2020,9.00,48.00,20.00,35.00,7.00,3.00,0.00,13.00,6.00,5.00,79.40,50.30,0.16,0.16,0.13,0.14,0.08,0.00,0.11,0.14,0.17,0.75,0.35
"Dale, Bailey",173.00,2019,10.00,77.00,39.00,50.00,21.00,11.00,0.00,19.00,6.00,4.00,80.10,65.50,0.16,0.21,0.11,0.28,0.22,0.00,0.11,0.11,0.05,0.80,0.52
"Dangerfield, Patrick",174.00,2021,16.00,212.00,71.00,159.00,8.00,7.00,0.00,53.00,28.00,22.00,72.80,87.30,0.41,0.39,0.36,0.13,0.17,0.00,0.29,0.52,0.48,0.69,0.71
"Dangerfield, Patrick",174.00,2020,21.00,280.00,78.00,156.00,17.00,17.00,0.00,55.00,34.00,27.00,85.10,99.90,0.94,0.62,0.58,0.35,0.47,0.00,0.47,0.79,0.93,0.83,0.78
"Dangerfield, Patrick",174.00,2019,24.00,352.00,119.00,298.00,27.00,18.00,1.00,104.00,44.00,38.00,83.00,105.70,0.74,0.63,0.66,0.36,0.36,0.00,0.62,0.83,0.49,0.83,0.85
"Daniel, Caleb",175.00,2021,25.00,364.00,100.00,267.00,7.00,1.00,0.00,58.00,18.00,12.00,80.60,87.30,0.71,0.55,0.60,0.11,0.02,0.00,0.31,0.33,0.26,0.78,0.71
"Daniel, Caleb",175.00,2020,18.00,225.00,59.00,138.00,3.00,2.00,0.00,42.00,10.00,9.00,84.30,90.20,0.76,0.47,0.51,0.06,0.06,0.00,0.36,0.23,0.31,0.82,0.70
"Daniel, Caleb",175.00,2019,17.00,294.00,67.00,157.00,1.00,0.00,0.00,53.00,15.00,12.00,84.20,93.80,0.62,0.36,0.35,0.01,0.00,0.00,0.31,0.28,0.15,0.84,0.75
"Daniels, Brent",176.00,2021,13.00,91.00,22.00,86.00,2.00,4.00,0.00,35.00,12.00,4.00,71.30,51.30,0.18,0.12,0.19,0.03,0.10,0.00,0.19,0.22,0.09,0.67,0.41
"Daniels, Brent",176.00,2020,16.00,100.00,31.00,94.00,5.00,8.00,0.00,42.00,7.00,11.00,80.40,59.50,0.34,0.25,0.35,0.10,0.22,0.00,0.36,0.16,0.38,0.77,0.43
