Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Brander, Jarrod",71,2019,2.00,14.00,8.00,4.00,0.00,2.00,0.00,1.00,0.00,1.00,74.50,38.50
"Brayshaw, Andrew",72,2021,20.00,265.00,101.00,303.00,8.00,5.00,0.00,93.00,25.00,23.00,78.80,104.30
"Brayshaw, Andrew",72,2020,17.00,147.00,49.00,191.00,0.00,3.00,0.00,83.00,18.00,8.00,75.40,95.50
"Brayshaw, Andrew",72,2019,22.00,167.00,46.00,205.00,7.00,7.00,0.00,113.00,16.00,12.00,71.00,69.50
"Brayshaw, Angus",73,2021,25.00,274.00,105.00,186.00,3.00,7.00,0.00,61.00,12.00,19.00,82.40,69.30
"Brayshaw, Angus",73,2020,14.00,116.00,40.00,117.00,5.00,6.00,0.00,41.00,4.00,7.00,74.70,79.00
"Brayshaw, Angus",73,2019,22.00,278.00,87.00,209.00,9.00,7.00,0.00,96.00,23.00,16.00,77.50,87.90
"Brayshaw, Hamish",74,2020,1.00,3.00,1.00,2.00,0.00,1.00,0.00,1.00,1.00,0.00,58.00,27.50
"Breust, Luke",75,2021,19.00,121.00,47.00,117.00,33.00,11.00,0.00,62.00,12.00,13.00,79.40,61.50
"Breust, Luke",75,2020,13.00,77.00,24.00,64.00,16.00,6.00,0.00,51.00,14.00,13.00,80.80,68.50
"Breust, Luke",75,2019,22.00,165.00,61.00,137.00,34.00,17.00,0.00,85.00,29.00,14.00,83.50,68.20
"Briggs, Kieren",76,2021,5.00,23.00,9.00,26.00,2.00,0.00,85.00,22.00,8.00,6.00,65.60,64.60
"Broad, Nathan",77,2021,14.00,159.00,89.00,70.00,0.00,0.00,0.00,17.00,7.00,5.00,90.50,67.40
"Broad, Nathan",77,2020,16.00,128.00,65.00,47.00,0.00,0.00,1.00,28.00,6.00,7.00,92.30,60.20
"Broad, Nathan",77,2019,24.00,165.00,86.00,106.00,1.00,0.00,3.00,44.00,17.00,13.00,83.00,47.00
"Broadbent, Matthew",78,2019,10.00,145.00,58.00,54.00,0.00,0.00,0.00,8.00,6.00,3.00,82.80,74.60
"Brockman, Tyler",79,2021,11.00,52.00,27.00,46.00,10.00,4.00,0.00,23.00,2.00,6.00,68.00,42.60
"Brodie, Will",80,2021,5.00,25.00,7.00,39.00,0.00,1.00,0.00,8.00,3.00,3.00,55.00,40.20
"Brodie, Will",80,2020,1.00,4.00,3.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,67.00,56.30
"Brodie, Will",80,2019,8.00,77.00,34.00,97.00,2.00,1.00,0.00,44.00,6.00,6.00,74.50,88.00
"Brooksby, Keegan",81,2020,1.00,4.00,0.00,1.00,0.00,0.00,10.00,2.00,3.00,2.00,53.00,36.30
"Broomhead, Tim",82,2020,1.00,2.00,0.00,5.00,0.00,0.00,0.00,2.00,1.00,1.00,79.00,27.50
"Brown, Ben",83,2021,13.00,102.00,69.00,24.00,25.00,13.00,13.00,20.00,11.00,6.00,79.80,62.30
"Brown, Ben",83,2020,9.00,49.00,31.00,13.00,8.00,8.00,4.00,6.00,6.00,3.00,88.60,48.20
"Brown, Ben",83,2019,22.00,187.00,108.00,57.00,64.00,34.00,58.00,25.00,44.00,12.00,97.70,72.00
"Brown, Callum",84,2021,15.00,66.00,41.00,107.00,3.00,6.00,0.00,44.00,8.00,5.00,60.40,48.50
"Brown, Callum",84,2021,2.00,4.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,35.50,11.50
"Brown, Callum",84,2020,14.00,69.00,24.00,109.00,6.00,2.00,0.00,29.00,11.00,7.00,76.10,57.20
"Brown, Callum",84,2019,22.00,160.00,58.00,162.00,11.00,13.00,0.00,89.00,22.00,15.00,76.50,63.20
"Brown, Luke",85,2021,11.00,99.00,39.00,43.00,0.00,0.00,0.00,26.00,8.00,2.00,76.60,55.10
"Brown, Luke",85,2020,17.00,141.00,46.00,56.00,0.00,1.00,0.00,35.00,13.00,9.00,84.70,58.80
"Brown, Luke",85,2019,15.00,153.00,57.00,74.00,1.00,2.00,0.00,24.00,10.00,5.00,84.60,58.50
"Brown, Mitch",86,2021,1.00,8.00,6.00,2.00,2.00,2.00,0.00,3.00,1.00,1.00,79.00,70.00
"Brown, Mitch",86,2019,16.00,146.00,96.00,74.00,21.00,13.00,3.00,16.00,12.00,16.00,93.80,65.30
"Brown, Nathan",87,2019,16.00,64.00,42.00,66.00,0.00,0.00,2.00,26.00,12.00,9.00,88.60,33.80
"Brown, Tyler",88,2021,7.00,35.00,14.00,60.00,0.00,0.00,0.00,11.00,1.00,4.00,67.60,42.90
"Brown, Tyler",88,2020,9.00,45.00,14.00,61.00,2.00,0.00,0.00,13.00,1.00,3.00,69.40,49.30
"Bruce, Josh",89,2021,20.00,138.00,100.00,83.00,48.00,21.00,28.00,26.00,13.00,26.00,86.70,62.80
"Bruce, Josh",89,2020,17.00,55.00,47.00,81.00,14.00,8.00,19.00,28.00,10.00,15.00,87.80,48.20
"Bruce, Josh",89,2019,22.00,151.00,96.00,109.00,36.00,20.00,33.00,40.00,25.00,41.00,87.90,58.60
"Bruhn, Tanner",90,2021,13.00,56.00,16.00,45.00,4.00,4.00,0.00,33.00,8.00,5.00,56.30,35.30
"Bryan, Nick",91,2021,1.00,5.00,3.00,7.00,0.00,0.00,18.00,3.00,1.00,1.00,61.00,66.00
"Buckley, Jack",92,2021,15.00,112.00,68.00,57.00,0.00,2.00,1.00,34.00,7.00,17.00,81.70,49.90
"Buckley, Jack",92,2020,2.00,11.00,7.00,8.00,0.00,0.00,0.00,5.00,2.00,0.00,81.00,57.50
"Budarick, Connor",93,2021,2.00,19.00,11.00,9.00,0.00,0.00,0.00,4.00,1.00,3.00,76.50,58.00
"Budarick, Connor",93,2020,15.00,92.00,35.00,46.00,1.00,0.00,0.00,25.00,9.00,9.00,83.40,46.80
"Buntine, Matt",94,2021,8.00,55.00,21.00,23.00,1.00,1.00,0.00,17.00,6.00,9.00,72.10,41.00
"Buntine, Matt",94,2019,9.00,68.00,36.00,38.00,2.00,2.00,0.00,19.00,10.00,5.00,84.20,52.60
"Burgess, Chris",95,2021,19.00,112.00,67.00,62.00,10.00,10.00,177.00,42.00,16.00,12.00,79.40,55.60
"Burgess, Chris",95,2019,14.00,55.00,38.00,60.00,4.00,3.00,7.00,22.00,5.00,9.00,87.90,35.60
"Burgoyne, Shaun",96,2021,18.00,133.00,46.00,84.00,0.00,1.00,0.00,31.00,5.00,5.00,66.00,45.60
